word,level
conscience,B2
conscientious,C1
conscientiously,C1
conscious,B2
consciousness,B2
consensus,B2
consent,B2
consequence,A2
consequently,B2
conservation,B2
conservative,B2
conservatory,C1
conserve,C1
consider,A2
considerable,B2
considerably,B2
consideration,B2
considering,B2
consign,C2
consignment,C2
consist,A2
consistent,B2
consistently,B2
consolation,B2
console,B2
consonant,B1
conspiracy,B2
constant,B2
constantly,B2
consternation,C2
constitute,B1
constitution,B1
constrained,C2
constraint,C1
construct,B2
construction,B2
consult,B2
consultancy,C1
consultant,B2
consultation,C1
consume,B1
consumer,B1
consumption,B2
contact,A2
contagion,C2
contain,B1
container,A2
contaminate,B2
contemporary,B2
contempt,B2
contemptuous,C2
contemptuously,C2
content,B2
contest,B2
contested,C1
context,A2
contextual,C1
contextually,C1
continent,A2
continual,B1
continually,B1
continue,A2
continuity,C1
continuous,B1
continuously,B1
contract,B2
contractor,C1
contractual,C2
contractually,C2
contradict,B2
contradiction,B2
contradictory,B2
contraption,C2
contrary,B1
contrast,A2
contribute,B2
contribution,B2
contrive,C2
control,A2
controversial,B2
controversy,B2
convenience,B2
convenient,A2
conveniently,B2
convention,B2
conventional,B2
conversation,A1
converse,B2
conversely,B2
conversion,B2
convert,B2
convey,B2
convict,C1
conviction,C1
convince,B1
convinced,B2
convincing,B2
convoluted,C1
cook,A1
cooker,A2
cookie,A1
cooking,A2
cool,A1
cooler,A2
cooperate,B2
cooperation,B2
cooperative,B2
cope,B2
copper,B2
copy,A1
copyright,B1
coral,B2
cordon,C2
core,B2
corn,A1
corner,A1
cornerstone,B2
cornet,B2
corona,B2
corporal,B2
corporate,B2
corporation,B2
corps,C1
corpse,C2
corpus,C2
correct,A1
correction,B1
correctly,A2
correctness,B2
correlate,C2
correlation,C2
correspond,B2
correspondence,B2
correspondent,B2
corresponding,B2
corridor,B2
corrupt,B2
corruption,B2
cosmic,C2
cosset,C2
cost,A2
costly,B2
costume,B2
cottage,B2
cotton,B1
couch,A1
cough,B2
could,A1
council,B2
counsel,C2
count,B1
counter,B2
counterproductive,C2
counterproductively,C2
countless,B1
country,A2
countryman,B2
countryside,A2
countrywide,B2
county,B2
couple,A2
coupled,C1
courage,B2
courageous,B1
courgette,B1
course,A1
court,A2
courtesy,B2
cousin,A1
cover,A1
coverage,B2
coward,B2
cowardly,B2
cowboy,B2
crab,B2
crack,B2
craft,B1
craftsman,B2
crash,B2
crater,B2
crave,C1
craving,C1
crawl,B2
crazy,A2
cream,A2
creamy,C1
crease,B2
create,A2
creation,B2
creative,A2
creatively,B2
creativity,B2
creator,B1
creature,B2
credential,C1
credibility,C1
credible,C1
credibly,C1
credit,B2
creek,B2
creepy,B2
crew,B2
cricket,A2
crime,A2
criminal,B2
cripple,B2
crippling,C2
crisis,B2
crisp,A2
criteria,C1
criterion,B2
critic,B2
critical,B2
critically,B2
criticism,B2
criticize,B2
crocodile,B2
crony,C2
crop,B2
cross,A2
crossing,B1
crossly,B2
crossroads,B1
crow,B1
crowd,A2
crowded,A2
crown,A2
crucial,B2
crude,C1
crudely,C1
cruel,B1
cruelly,B2
cruelty,B2
cruise,B2
crumb,C1
crumble,C1
crush,B1
cube,B2
cubism,B2
cucumber,B1
cuff,B2
cull,C2
culmination,B2
cultish,C2
cultivate,B1
cultural,B1
culturally,B2
culture,A1
cupboard,A2
curate,C2
curator,C2
cure,B2
curiosity,B1
curious,B2
curiously,B1
curl,B2
curly,B1
currency,B1
current,B2
currently,B1
curriculum,B2
curry,A2
curse,A2
cursor,B2
curtain,B1
curve,B2
curved,B2
cushion,B1
custom,A2
customary,C1
customer,A2
customs,B1
cute,B2
cyberaddict,B2
cybercrime,B2
cyberpet,B2
cyberschool,B2
cyberspace,B2
cycle,B1
cycling,A2
cyclist,B2
cynic,C1
cynical,C1
cynically,C1
cynicism,C1
daddy,A1
daft,B2
daily,A2
dairy,B2
daisy,B1
damage,B1
damaged,B1
damn,B2
